KIC,Period_days,Depth_ppm,Duration_hours,Epoch,SDE,kepid,label,koi_disposition,kepmag,teff,logg,radius
11017901,93.0767033,648.4347243,14.5,164.9871647,3.181594734,11017901,1,CONFIRMED,12.394,5555,4.44,0.872
5396984,113.578148,373.2907801,7,163.3452481,3.167700744,5396984,0,NONE,14.238,5708,4.389,0.962
10322913,78.51437428,139.6080255,13,162.4917494,3.163899693,10322913,0,NONE,14.332,5700,4.325,1.04
10928043,87.86585151,231.2214055,8,208.3035221,3.077587737,10928043,1,CANDIDATE,13.137,6029,4.457,1.049
2301527,124.5050726,475.9581012,9.5,228.0647409,3.073891857,2301527,0,NONE,14.108,5543,4.568,0.813
12457730,87.48849387,312.6300926,9,213.9911945,3.058733254,12457730,0,NONE,14.227,6180,4.453,1.006
9052348,84.70950373,1153.341942,8,170.9491532,3.05290634,9052348,0,NONE,14.347,5010,4.545,0.75
7708458,84.70950373,307.7981232,8.5,170.9655823,3.001269426,7708458,0,NONE,12.943,5891,4.424,0.976
8315266,91.8228827,136.0858731,6,171.1785983,2.99053522,8315266,0,NONE,13.829,6031,4.085,1.43
8165946,93.53837214,479.5272054,8,183.8664549,2.977705759,8165946,1,CONFIRMED,13.862,6201,4.472,0.989
11766750,92.50026533,386.3795009,6,138.7618688,2.920964422,11766750,0,NONE,14.211,5432,4.42,0.913
2991562,74.52296626,256.3106077,10,169.5750828,2.884597185,2991562,0,NONE,12.273,5843,4.121,1.449
10722020,93.53899473,220.7118087,8,183.8664604,2.826121742,10722020,0,NONE,14.014,5724,4.345,1.039
9521317,93.53368949,160.1853024,9.5,183.9661319,2.823791084,9521317,1,CANDIDATE,12.85,6082,4.455,1.025
8493800,89.16167255,104.8951446,5.5,202.0494347,2.806198575,8493800,0,NONE,10.695,6241,4.196,1.49
11713414,75.15067009,88.80267202,5,171.1012473,2.804295461,11713414,0,NONE,12.002,5981,4.296,1.15
6304294,92.74090504,332.6256179,5,166.5745623,2.787896888,6304294,0,NONE,13.894,5865,4.24,1.179
4935189,72.59916805,2120.266422,9.5,182.5909955,2.764485755,4935189,0,NONE,11.203,6256,4.172,1.529
2718136,81.71287256,195.4819078,10,210.8042137,2.760989768,2718136,0,NONE,14.352,5489,4.577,0.744
7950097,103.8645267,441.1306564,10,183.9292116,2.760577168,7950097,0,NONE,13.79,6243,4.401,1.07
8837813,84.7137444,514.1008238,8,170.8868268,2.752068927,8837813,0,NONE,13.987,5670,4.263,1.117
9967771,72.28375728,313.0851826,8.5,152.8971918,2.750823945,9967771,1,CONFIRMED,14.498,5953,4.485,0.926
6268648,95.74448759,142.7976932,8,162.1228586,2.740408247,6268648,1,CONFIRMED,11.049,6044,4.192,1.327
2853446,139.8736465,695.1104264,8,176.033437,2.707471298,2853446,1,CANDIDATE,13.835,5973,4.371,1.07
6431254,37.41384667,135.5216701,7.5,146.5289506,2.705686243,6431254,0,NONE,13.19,6070,4.187,1.25
9146018,103.8437262,391.1712455,12,183.9707715,2.701217469,9146018,1,CONFIRMED,14.129,5543,4.568,0.813
6272284,83.7867156,477.8977499,6,183.8460483,2.694563639,6272284,0,NONE,14.274,5979,4.329,1.093
4068696,85.31334778,457.8887481,7,179.3931398,2.693011262,4068696,0,NONE,13.514,5868,4.53,0.894
4831185,62.38852757,377.2608488,13,162.2267635,2.665508726,4831185,0,NONE,10.251,5906,4.173,1.275
8609667,61.23023458,91.12705622,8.5,172.1689537,2.662478131,8609667,0,NONE,14.221,6013,4.45,0.953
10556590,139.8428469,2149.427874,7.5,176.1470769,2.634672263,10556590,0,NONE,13.684,5880,4.274,1.193
6779260,93.20006516,1257.600354,9,166.1432065,2.630996921,6779260,1,CONFIRMED,11.799,5397,4.543,0.831
4364882,106.4515492,330.6602,9,159.0333735,2.609719858,4364882,0,NONE,14.147,5413,4.656,0.657
9225385,78.58067774,434.1719488,7,161.3037075,2.601511302,9225385,0,NONE,14.445,5457,4.584,0.778
3953177,82.79576377,238.2995743,9.5,194.5021676,2.579175234,3953177,0,NONE,14.434,5973,4.562,0.826
8265428,79.73557197,330.4646092,9,170.8091557,2.567937065,8265428,0,NONE,12.761,6297,4.341,1.12
5033073,84.71006756,286.0997083,7.5,170.9392114,2.56520018,5033073,0,NONE,13.681,6106,4.46,1.005
8041825,75.9008154,191.4005541,8,204.1995073,2.562427719,8041825,0,NONE,14.147,5981,4.452,1.022
12053194,82.18121913,165.8981076,10,147.768265,2.554213491,12053194,0,NONE,13.204,5903,4.546,0.864
9098185,102.8956696,185.9182377,7.5,183.8557719,2.552403308,9098185,0,NONE,14.247,6181,4.371,1.031
11125797,61.50828762,105.1846379,9.5,164.7936766,2.552130381,11125797,1,CONFIRMED,13.747,5356,4.617,0.685
11361646,84.70950373,282.850616,7,170.9283888,2.537304363,11361646,1,CONFIRMED,13.928,5973,4.386,1.081
8081187,87.86262177,234.7777961,6,208.3103481,2.496848873,8081187,1,CONFIRMED,13.573,6253,4.503,0.927
5364578,137.1943426,1005.115372,7.5,183.8770314,2.452961723,5364578,0,NONE,14.331,6119,4.497,0.938
11904011,87.52265374,563.3573268,11,181.3724835,2.430078584,11904011,0,NONE,13.145,6295,4.366,1.056
2716664,71.83729859,293.3257445,8,188.5334017,2.404845728,2716664,0,NONE,13.891,6284,4.194,1.448
9076990,96.67277844,261.4167,6,183.8459054,2.400911849,9076990,0,NONE,14.296,5571,4.549,0.779
8052298,84.70950373,539.0264536,9,170.9701697,2.398282144,8052298,0,NONE,14.291,5981,4.492,0.957
8520426,137.5517153,448.7016296,8.5,183.8971663,2.372700891,8520426,0,NONE,12.46,5110,4.529,0.803
8171971,72.46341049,99.41338386,12,186.8305009,2.356518986,8171971,0,NONE,13.593,5865,4.518,0.918
10002867,138.4990982,1182.108315,7.5,183.8769449,2.28585392,10002867,0,NONE,14.28,6160,4.378,1.048
9395908,93.53837214,235.6113465,10,183.9141735,2.276945022,9395908,0,NONE,12.813,5346,4.637,0.682
5084184,61.66856497,164.182847,7.5,136.9815838,2.246913813,5084184,0,NONE,13.424,5988,4.402,0.99
9764678,93.53837214,399.7409903,10,183.908139,2.238609826,9764678,0,NONE,14.162,5115,4.47,0.866
9413532,80.35247307,71.57188195,9,183.8511836,2.118467166,9413532,0,NONE,12.615,5559,4.496,0.79
